Turkish,English
bir,One
ve,and
olmak,to be
bu,this
için,for  
o,the
ben,I / me
demek,to mean
çok,A lot
yapmak,to do
ne,what
gibi,like
daha,more
almak,to take  
var,there is / exists
kendi,own
gelmek,to come
ile,with
vermek,to give
ama,but
sonra,after
kadar,as much as / until
yer,place
en,most
insan,human
değil,not
her,every / each
istemek,to want
yıl,year
çıkmak,to leave
görmek,to see
gün,day
biz,we
gitmek,to go
iş,work
şey,thing
ara,interval / space / break
ki,that
bilmek,to know
el,hand
zaman,time
ya,either / or
çocuk,child
iki,two
bakmak,to look 
çalışmak,to work
içinde,inside
büyük,big
yok,no
başlamak,to start
yol,road
kalmak,to stay
neden,why / reason
siz,you
konu,Subject
yapılmak,be done
iyi,Good
kadın,Woman
ev,house / home
ise,whereas
diye,saying
bulunmak,to be / to exist / to be found
söylemek,to say
göz,eye
gerekmek,need to
dünya,world
baş,head / beginning
durum,situation
yan,side
geçmek,to go past
sen,"you (singular, informal)"
onlar,they
yeni,new
önce,before
başka,Another
hal,matter
orta,medium
su,water
girmek,to enter
ülke,country
yemek,food
hiç,none / never / not at all
bile,even    
nasıl,How
bütün,all
karşı,opposite
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,drink
ancak,however
kişi,person
bunlar,these
veya,or 
ilk,first
göre,according to
ön,front
son,last
