Turkish,English
ve,and
bu,this
için,for  
o,the
ben,I / me
demek,to mean
çok,A lot
yapmak,to do
ne,what
daha,more
almak,to take  
var,there is / exists
kendi,own
ile,with
vermek,to give
ama,but
sonra,after
kadar,until
yer,place
en,most
insan,human
değil,not
her,every / each
yıl,year
çıkmak,to leave
görmek,to see
gün,day
biz,we
gitmek,to go
iş,work
şey,thing
ara,interval
ki,that
bilmek,to know
el,hand
zaman,time
ya,either / or
çocuk,child
iki,two
çalışmak,to work
içinde,inside
büyük,big
yok,no
başlamak,to start
yol,road
kalmak,to stay
neden,why / reason
siz,you
konu,Subject
yapılmak,be done
iyi,Good
kadın,Woman
ev,house / home
ise,whereas
diye,saying
bulunmak,to exist
göz,eye
gerekmek,need to
baş,head / beginning
durum,situation
yan,side
geçmek,to go past
sen,you (informal)
onlar,they
önce,before
başka,Another
orta,medium
su,water
ülke,country
yemek,food
hiç,none / not at all
bile,even    
nasıl,How
karşı,opposite
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,drink
ancak,however
bunlar,these
veya,or 
ilk,first
göre,according to
ön,front
son,last
